length.train,ID,acc.pscore.kmeans,acc.pscore.hclust
1996,0,0.717835671,0.367134269
2080,0,0.71686747,0.373493976
2139,0,0.708667737,0.378009631
2184,0,0.719453376,0.370578778
2218,0,0.738868833,0.367428801
2246,0,0.730923695,0.389156627
2269,0,0.725261464,0.381335479
2288,0,0.72020934,0.371980676
2304,0,0.737011679,0.369311317
2317,0,0.704253612,0.37600321
2329,0,0.72811245,0.370281124
2340,0,0.733467742,0.378629032
2349,0,0.729653505,0.379129734
2357,0,0.730273752,0.382447665
2364,0,0.720369626,0.361189233
2371,0,0.727419355,0.375403226
2377,0,0.735673931,0.377723971
2382,0,0.722043443,0.365245374
2387,0,0.731884058,0.376006441
2392,0,0.718851133,0.377427184
2400,0,0.71902834,0.385020243
2403,0,0.715780998,0.388888889
2406,0,0.725922953,0.392857143
2409,0,0.730553328,0.370890136
2412,0,0.730522088,0.404417671
2415,0,0.739516129,0.386290323
2418,0,0.714285714,0.387581169
2422,0,0.734488316,0.391216761
2424,0,0.714688129,0.376257545
2426,0,0.719806763,0.377214171
2428,0,0.726502622,0.384429205
2430,0,0.720647773,0.37611336
2432,0,0.71998372,0.374440374
2433,0,0.700806452,0.377016129
2436,0,0.712671509,0.379338176
2437,0,0.709302326,0.393744988
2440,0,0.721212121,0.385050505
2441,0,0.718196457,0.378824477
2442,0,0.720995584,0.384183059
2444,0,0.732843137,0.381535948
2446,0,0.73877551,0.366938776
2448,0,0.709353673,0.394219189
2452,0,0.720930233,0.380112269
2455,0,0.728629032,0.380241935
2457,0,0.718218623,0.387449393
2458,0,0.70068576,0.384429205
2459,0,0.734702093,0.395732689
2460,0,0.73360161,0.391146881
2464,0,0.733870968,0.387903226
2465,0,0.731325301,0.380321285
2466,0,0.734161989,0.380513232
2467,0,0.722712681,0.380016051
2468,0,0.723832528,0.389291465
2470,0,0.728979592,0.38244898
2471,0,0.72875817,0.368055556
2472,0,0.725442834,0.371175523
2473,0,0.732231405,0.385950413
2475,0,0.722916667,0.3875
2476,0,0.730263158,0.381578947
2476,0,0.724387304,0.348332664
2477,0,0.722222222,0.383655395
2478,0,0.730252101,0.38907563
2478,0,0.720179739,0.383169935
2479,0,0.720016892,0.400760135
2479,0,0.721895973,0.375419463
2479,0,0.725833333,0.40625
2479,0,0.710115132,0.377055921
2480,0,0.717622081,0.375796178
2480,0,0.745147679,0.380168776
2480,0,0.705660377,0.378197065
2480,0,0.743333333,0.3775
2480,0,0.717479675,0.38495935
2480,0,0.727710843,0.389558233
2481,0,0.715136054,0.370748299
2481,0,0.739495798,0.369747899
2481,0,0.732758621,0.401888342
2481,0,0.730738363,0.400481541
2482,0,0.726068376,0.364957265
2482,0,0.733727811,0.391377853
2482,0,0.727842809,0.381688963
2483,0,0.733592401,0.386873921
2483,0,0.738402062,0.384879725
2483,0,0.732905983,0.384615385
2483,0,0.723905724,0.387626263
2483,0,0.721666667,0.38625
2483,0,0.725845411,0.381642512
2484,0,0.715528491,0.38799478
2484,0,0.723809524,0.377489177
2484,0,0.727703576,0.3860405
2484,0,0.73670669,0.373927959
2484,0,0.719590269,0.387110542
2484,0,0.729396771,0.384876805
2484,0,0.718816068,0.380549683
2484,0,0.733164983,0.377104377
2484,0,0.736201299,0.391233766
2485,0,0.73245614,0.38245614
2485,0,0.744104803,0.3930131
2485,0,0.733043478,0.397391304
2485,0,0.72987013,0.368831169
2485,0,0.724463519,0.384549356
1996,1,0.270941884,0.750300601
2080,1,0.267068273,0.739759036
2139,1,0.270064205,0.74117175
2184,1,0.25522508,0.745980707
2218,1,0.274769354,0.752908143
2246,1,0.280321285,0.7437751
2269,1,0.27232502,0.742156074
2288,1,0.267713366,0.737922705
2304,1,0.270237616,0.731373339
2317,1,0.271268058,0.731139647
2329,1,0.269879518,0.753413655
2340,1,0.268951613,0.747177419
2349,1,0.279613215,0.746978243
2357,1,0.274959742,0.751207729
2364,1,0.258738449,0.753314584
2371,1,0.263709677,0.75483871
2377,1,0.261904762,0.748991122
2382,1,0.262268705,0.741753821
2387,1,0.26489533,0.734299517
2392,1,0.268608414,0.741504854
2400,1,0.262348178,0.736032389
2403,1,0.269323671,0.748792271
2406,1,0.271268058,0.737158909
2409,1,0.269847634,0.756214916
2412,1,0.279518072,0.744578313
2415,1,0.277822581,0.746774194
2418,1,0.273944805,0.737012987
2422,1,0.267123288,0.733682514
2424,1,0.270020121,0.736016097
2426,1,0.25805153,0.750402576
2428,1,0.279951593,0.729326341
2430,1,0.270850202,0.734412955
2432,1,0.261701262,0.72975173
2433,1,0.256451613,0.736290323
2436,1,0.269168684,0.741323648
2437,1,0.276263031,0.743384122
2440,1,0.267070707,0.743838384
2441,1,0.274557166,0.740740741
2442,1,0.260136491,0.743476515
2444,1,0.274509804,0.742238562
2446,1,0.252653061,0.745306122
2448,1,0.284624649,0.735447611
2452,1,0.27265437,0.746992783
2455,1,0.26733871,0.74233871
2457,1,0.270445344,0.742510121
2458,1,0.27551432,0.735377168
2459,1,0.27979066,0.745571659
2460,1,0.276056338,0.743661972
2464,1,0.280645161,0.753225806
2465,1,0.274297189,0.73935743
2466,1,0.262630313,0.731355253
2467,1,0.268459069,0.725120385
2468,1,0.287439614,0.732689211
2470,1,0.275102041,0.733877551
2471,1,0.262663399,0.743464052
2472,1,0.262479871,0.730273752
2473,1,0.27768595,0.748760331
2475,1,0.292083333,0.748333333
2476,1,0.275493421,0.735608553
2476,1,0.25672961,0.732020892
2477,1,0.284621578,0.75805153
2478,1,0.280252101,0.747058824
2478,1,0.270424837,0.735702614
2479,1,0.27027027,0.750422297
2479,1,0.265939597,0.729446309
2479,1,0.2775,0.735833333
2479,1,0.270148026,0.738075658
2480,1,0.267091295,0.746921444
2480,1,0.294092827,0.745991561
2480,1,0.271278826,0.740880503
2480,1,0.265833333,0.74125
2480,1,0.249186992,0.743902439
2480,1,0.279116466,0.736144578
2481,1,0.259778912,0.737244898
2481,1,0.264285714,0.743277311
2481,1,0.284482759,0.759852217
2481,1,0.27046549,0.732343499
2482,1,0.252991453,0.755555556
2482,1,0.282755706,0.743026205
2482,1,0.262959866,0.738294314
2483,1,0.259930915,0.753022453
2483,1,0.274054983,0.733247423
2483,1,0.273504274,0.758119658
2483,1,0.27483165,0.742003367
2483,1,0.266666667,0.74875
2483,1,0.267310789,0.751207729
2484,1,0.261418008,0.732492388
2484,1,0.272727273,0.752380952
2484,1,0.267557087,0.738043947
2484,1,0.279588336,0.739708405
2484,1,0.294067435,0.731113956
2484,1,0.263381478,0.749362787
2484,1,0.280761099,0.729386892
2484,1,0.278198653,0.72979798
2484,1,0.284496753,0.755681818
2485,1,0.267105263,0.748245614
2485,1,0.291703057,0.748471616
2485,1,0.270869565,0.733043478
2485,1,0.265367965,0.739393939
2485,1,0.270386266,0.745922747